Company,Location,RelocateYear,RelocateFrom,TexasEmployeesEstimate,isNewHQ?,Website,TwitterHandle
240 Tech LLC (HQ2),Cedar Park,2021.0,Santa Ana,35.0,Y,https://ovaljet.com/,ovaljetofficial
Wedgewood Inc.,Farmers Branch,2021.0,Redondo Beach,200.0,Y,https://www.wedgewood-inc.com/,JobsatWedgewood
Green Dot,Austin,2021.0,Pasadena,200.0,Y,https://www.greendot.com/about-us,GreenDotBank
AECOM,Dallas,2021.0,Los Angeles,1200.0,Y,https://aecom.com/contact-us/,AECOM
Therabody,Dallas,2021.0,Los Angeles,50.0,Y,https://www.therabody.com/us/en-us/support/support.html,therabody
Tesla,Austin,2021.0,Palo Alto,5000.0,,https://www.tesla.com/contact,https://twitter.com/Tesla
Wiley X,Frisco,2021.0,Livermore,88.0,Y,https://www.wileyx.com/contact,wileyx
Lion Real Estate Group,Dallas,2021.0,Los Angeles,100.0,Y,https://www.lionrealestate.com/,LionRealEstate
SmartAction,Fort Worth,2021.0,Los Angeles,80.0,Y,https://www.smartaction.ai/contact-us/,SmartAction
Markaaz Inc.,Austin,2021.0,Los Angeles,150.0,Y,https://markaaz.com/about-us/,markaazglobal
NinjaRMM LLV,Austin,2021.0,San Francisco,24.0,Y,https://www.ninjarmm.com/about-us/,NinjaRMM
Pabst Brewing,San Antonio,2020.0,Los Angeles,100.0,Y,https://pabstblueribbon.com/contact-us/,PabstBlueRibbon
FileTrail,Austin,2020.0,San Jose,25.0,Y,https://filetrail.com/contact/,FileTrail
Dasan Zhone Solutions (DZS),Plano,2020.0,Oakland,80.0,Y,https://dzsi.com/,DZS_Innovation
Oracle,Austin,2020.0,Redwood City,4500.0,Y,https://www.oracle.com/corporate/citizenship/,Oracle
Incora,Fort Worth,2020.0,Valencia,239.0,Y,https://www.incora.com/contact-us/contact-form,incoraglobal
Hewlett Packard Enterprise,Houston,2020.0,San Jose,2600.0,Y,https://www.hpe.com/us/en/home.html,HPE
QuestionPro,Austin,2020.0,San Francisco,100.0,Y,https://www.questionpro.com/info/aboutUs.html,questionpro
CBRE Group,Dallas,2020.0,Los Angeles,3000.0,Y,https://www.cbre.com/about/corporate-responsibility,CBRE
Saleen Performance Parts,Round Rock,2020.0,Corona,150.0,Y,https://www.saleenperformance.com/,Saleen
Slync.io,Dallas,2020.0,San Francisco,100.0,Y,https://www.slync.io/company,Slyncio
8VC,Austin,2020.0,San Francisco,15.0,Y,https://8vc.com/about/,eightVC
Chubbies Shorts Co.,Austin,2019.0,San Francisco,65.0,Y,https://www.chubbiesshorts.com/,Chubbies
DJO Global,Lewisville,2019.0,Carlsbad,100.0,Y,https://www.djoglobal.com,djoglobal
CORE Group,Austin,2019.0,San Francisco,35.0,Y,https://gowithcore.com/contact-us/,
Digital Pharmacist,Austin,2019.0,Los Angeles,50.0,Y,https://www.digitalpharmacist.com/contact/,Digital_Pharm
Aeromax Industries Inc.,Fort Worth,2019.0,Los Angeles,25.0,Y,https://aeromax.com/contact-us/,
