Company,Location,TexEmployeesEstimate,isCorpHQ,isFort500,Fort500Rank,isGlobal500,Glob500Rank,isRelocate,RelocateYear,RelocateFrom,Website,TwitterHandle,Source
Walmart,Various,171000,,Y,1,Y,1,,,,https://corporate.walmart.com/,Walmart,https://corporate.walmart.com/our-story/locations/united-states/texas
Amazon,Various,70000,,Y,2,Y,3,,,,https://www.aboutamazon.com/workplace/corporate-offices,Amazon,https://www.geekwire.com/2021/california-eclipses-washington-amazons-biggest-state-jobs-153k-employees-counting/
Apple,Austin,6500,,Y,3,Y,6,,,,https://www.apple.com/contact/,Apple,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=1
McKesson,Irving,500,Y,Y,7,Y,12,Y,2019,San Francisco,https://investor.mckesson.com/overview/default.aspx,McKeeson,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Google (Alphabet),Austin,800,,Y,9,Y,21,,,,https://about.google/,Google,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=1
ExxonMobil,Irving,12000,Y,Y,10,Y,23,,,,https://corporate.exxonmobil.com/About-us/Contact-us,exxonmobil,https://www.houstonchronicle.com/business/energy/article/Exxon-lay-off-1900-US-employees-mostly-in-Houston-15685353.php
AT&T,Dallas,37000,Y,Y,11,Y,26,,,,https://about.att.com/pages/corporate_profile,ATT,https://www.bizjournals.com/dallas/blog/techflash/2015/11/at-t-to-hire-271-employees-in-dfw-850-in-texas.html
Dell Technologies,Round Rock,13000,Y,Y,28,Y,76,,,,https://corporate.delltechnologies.com/en-us/index.htm,Dell,https://www.statesman.com/story/business/2020/09/14/report-dell-planning-employee-layoffs/114021434/
Phillips 66,Houston,,Y,Y,48,Y,143,,,,https://www.phillips66.com/about,Phillips66Co,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Target,Various,23500,,Y,30,Y,78,,,,https://corporate.target.com/,TargetNews,https://www.dallasnews.com/business/retail/2019/04/04/target-raises-minimum-hourly-wage-to-13-with-a-goal-of-15-in-2020/
Frito-Lay (Pepsi Co),Plano,6500,Y,Y,44,Y,131,,,,https://contact.pepsico.com/fritolay,Fritolay,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Valero Energy,San Antonio,,Y,Y,53,Y,164,,,,https://www.valero.com/about,ValeroEnergy,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Hewlett Packard Enterprise,Houston,2600,Y,Y,106,Y,453,Y,2020,San Jose,https://www.hpe.com/us/en/home.html,HPE,https://apnews.com/article/houston-california-greg-abbott-texas-1ce5ef41c6e20e84b5954de11fa3c8a7
